item,itemLabel,coords
http://www.wikidata.org/entity/Q3136685,ancient Capua,Point(14.25 41.083333333)
http://www.wikidata.org/entity/Q20546079,Q20546079,Point(-8.436356 43.377146)
http://www.wikidata.org/entity/Q178855,Botoșani,Point(26.669444444 47.748611111)
http://www.wikidata.org/entity/Q648489,Loznica,Point(19.225833333 44.533333333)
http://www.wikidata.org/entity/Q309343,Pirot,Point(22.585 43.151944444)
http://www.wikidata.org/entity/Q170287,Subotica,Point(19.67 46.098333333)
http://www.wikidata.org/entity/Q1726,Munich,Point(11.575 48.1375)
http://www.wikidata.org/entity/Q1055,Hamburg,Point(10.0 53.55)
http://www.wikidata.org/entity/Q64,Berlin,Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q1794,Frankfurt,Point(8.682222222 50.110555555)
http://www.wikidata.org/entity/Q6829,Speyer,Point(8.433615 49.3165553)
http://www.wikidata.org/entity/Q68286,Horgen,Point(8.5975 47.260833333)
http://www.wikidata.org/entity/Q25607,St. Gallen,Point(9.377222222 47.423333333)
http://www.wikidata.org/entity/Q9125,Winterthur,Point(8.72671 47.4992)
http://www.wikidata.org/entity/Q68144,Zug,Point(8.516944444 47.168055555)
http://www.wikidata.org/entity/Q72,Zürich,Point(8.541111111 47.374444444)
http://www.wikidata.org/entity/Q71,Geneva,Point(6.15 46.2)
http://www.wikidata.org/entity/Q70,Bern,Point(7.44743 46.94798)
http://www.wikidata.org/entity/Q68965,Solothurn,Point(7.5375 47.208055555)
http://www.wikidata.org/entity/Q1773,Riga,Point(24.106944444 56.9475)
http://www.wikidata.org/entity/Q1741,Vienna,Point(16.3725 48.208333333)
http://www.wikidata.org/entity/Q649,Moscow,Point(37.617777777 55.755833333)
http://www.wikidata.org/entity/Q656,Saint Petersburg,Point(30.316666666 59.95)
http://www.wikidata.org/entity/Q31926034,Zaragoza City,Point(-0.877563649 41.654366145)
http://www.wikidata.org/entity/Q1085,Prague,Point(14.421388888 50.0875)
http://www.wikidata.org/entity/Q1761,Dublin,Point(-6.260277777 53.349722222)
http://www.wikidata.org/entity/Q1773,Riga,Point(24.106944444 56.9475)
http://www.wikidata.org/entity/Q675960,Arlon,Point(5.816666666 49.683611111)
http://www.wikidata.org/entity/Q116170766,Madrid city,Point(-3.70256 40.4165)
http://www.wikidata.org/entity/Q459,Plovdiv,Point(24.741454 42.142086)
http://www.wikidata.org/entity/Q406488,Malko Tarnovo,Point(27.524269 41.980595)
http://www.wikidata.org/entity/Q406523,Septemvri,Point(24.125011 42.216437)
http://www.wikidata.org/entity/Q31926034,Zaragoza City,Point(-0.877563649 41.654366145)
http://www.wikidata.org/entity/Q472,Sofia,Point(23.321726 42.697886)
http://www.wikidata.org/entity/Q405426,Botevgrad,Point(23.793661 42.907278)
http://www.wikidata.org/entity/Q597,Lisbon,Point(-9.139016 38.708042)
http://www.wikidata.org/entity/Q13580795,Samos,Point(26.93833333 37.69083333)
http://www.wikidata.org/entity/Q742538,Plataea,Point(23.27388 38.22136)
http://www.wikidata.org/entity/Q4420718,ancient Syracuse,Point(15.283333333 37.083333333)
http://www.wikidata.org/entity/Q406,Istanbul,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q335070,Alba Longa,Point(12.65026 41.74691)
http://www.wikidata.org/entity/Q5690,Sparta,Point(22.423611111 37.081944444)
http://www.wikidata.org/entity/Q5171759,Corniculum,Point(12.757123 42.020425)
http://www.wikidata.org/entity/Q2441154,Tomis,Point(28.658475 44.17287778)
http://www.wikidata.org/entity/Q2246183,Cures,Point(12.686649 42.182513)
http://www.wikidata.org/entity/Q677935,Veii,Point(12.401388888 42.023888888)
http://www.wikidata.org/entity/Q3136685,ancient Capua,Point(14.25 41.083333333)
http://www.wikidata.org/entity/Q20546079,Q20546079,Point(-8.436356 43.377146)
http://www.wikidata.org/entity/Q178855,Botoșani,Point(26.669444444 47.748611111)
http://www.wikidata.org/entity/Q648489,Loznica,Point(19.225833333 44.533333333)
http://www.wikidata.org/entity/Q309343,Pirot,Point(22.585 43.151944444)
http://www.wikidata.org/entity/Q170287,Subotica,Point(19.67 46.098333333)
http://www.wikidata.org/entity/Q1726,Munich,Point(11.575 48.1375)
http://www.wikidata.org/entity/Q1055,Hamburg,Point(10.0 53.55)
http://www.wikidata.org/entity/Q64,Berlin,Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q1794,Frankfurt,Point(8.682222222 50.110555555)
http://www.wikidata.org/entity/Q6829,Speyer,Point(8.433615 49.3165553)
http://www.wikidata.org/entity/Q68286,Horgen,Point(8.5975 47.260833333)
http://www.wikidata.org/entity/Q25607,St. Gallen,Point(9.377222222 47.423333333)
http://www.wikidata.org/entity/Q9125,Winterthur,Point(8.72671 47.4992)
http://www.wikidata.org/entity/Q68144,Zug,Point(8.516944444 47.168055555)
http://www.wikidata.org/entity/Q72,Zürich,Point(8.541111111 47.374444444)
http://www.wikidata.org/entity/Q71,Geneva,Point(6.15 46.2)
http://www.wikidata.org/entity/Q70,Bern,Point(7.44743 46.94798)
http://www.wikidata.org/entity/Q68965,Solothurn,Point(7.5375 47.208055555)
http://www.wikidata.org/entity/Q1773,Riga,Point(24.106944444 56.9475)
http://www.wikidata.org/entity/Q1741,Vienna,Point(16.3725 48.208333333)
http://www.wikidata.org/entity/Q649,Moscow,Point(37.617777777 55.755833333)
http://www.wikidata.org/entity/Q656,Saint Petersburg,Point(30.316666666 59.95)
http://www.wikidata.org/entity/Q31926034,Zaragoza City,Point(-0.877563649 41.654366145)
http://www.wikidata.org/entity/Q1085,Prague,Point(14.421388888 50.0875)
http://www.wikidata.org/entity/Q1761,Dublin,Point(-6.260277777 53.349722222)
http://www.wikidata.org/entity/Q1773,Riga,Point(24.106944444 56.9475)
http://www.wikidata.org/entity/Q675960,Arlon,Point(5.816666666 49.683611111)
http://www.wikidata.org/entity/Q116170766,Madrid city,Point(-3.70256 40.4165)
http://www.wikidata.org/entity/Q459,Plovdiv,Point(24.741454 42.142086)
http://www.wikidata.org/entity/Q406488,Malko Tarnovo,Point(27.524269 41.980595)
http://www.wikidata.org/entity/Q406523,Septemvri,Point(24.125011 42.216437)
http://www.wikidata.org/entity/Q31926034,Zaragoza City,Point(-0.877563649 41.654366145)
http://www.wikidata.org/entity/Q472,Sofia,Point(23.321726 42.697886)
http://www.wikidata.org/entity/Q405426,Botevgrad,Point(23.793661 42.907278)
http://www.wikidata.org/entity/Q597,Lisbon,Point(-9.139016 38.708042)
http://www.wikidata.org/entity/Q13580795,Samos,Point(26.93833333 37.69083333)
http://www.wikidata.org/entity/Q742538,Plataea,Point(23.27388 38.22136)
http://www.wikidata.org/entity/Q4420718,ancient Syracuse,Point(15.283333333 37.083333333)
http://www.wikidata.org/entity/Q406,Istanbul,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q335070,Alba Longa,Point(12.65026 41.74691)
http://www.wikidata.org/entity/Q5690,Sparta,Point(22.423611111 37.081944444)
http://www.wikidata.org/entity/Q5171759,Corniculum,Point(12.757123 42.020425)
http://www.wikidata.org/entity/Q2441154,Tomis,Point(28.658475 44.17287778)
http://www.wikidata.org/entity/Q2246183,Cures,Point(12.686649 42.182513)
http://www.wikidata.org/entity/Q677935,Veii,Point(12.401388888 42.023888888)
http://www.wikidata.org/entity/Q3136685,ancient Capua,Point(14.25 41.083333333)
http://www.wikidata.org/entity/Q20546079,Q20546079,Point(-8.436356 43.377146)
http://www.wikidata.org/entity/Q178855,Botoșani,Point(26.669444444 47.748611111)
http://www.wikidata.org/entity/Q648489,Loznica,Point(19.225833333 44.533333333)
http://www.wikidata.org/entity/Q309343,Pirot,Point(22.585 43.151944444)
http://www.wikidata.org/entity/Q170287,Subotica,Point(19.67 46.098333333)
http://www.wikidata.org/entity/Q1726,Munich,Point(11.575 48.1375)
http://www.wikidata.org/entity/Q1055,Hamburg,Point(10.0 53.55)
http://www.wikidata.org/entity/Q64,Berlin,Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q1794,Frankfurt,Point(8.682222222 50.110555555)
http://www.wikidata.org/entity/Q6829,Speyer,Point(8.433615 49.3165553)
http://www.wikidata.org/entity/Q68286,Horgen,Point(8.5975 47.260833333)
http://www.wikidata.org/entity/Q25607,St. Gallen,Point(9.377222222 47.423333333)
http://www.wikidata.org/entity/Q9125,Winterthur,Point(8.72671 47.4992)
http://www.wikidata.org/entity/Q68144,Zug,Point(8.516944444 47.168055555)
http://www.wikidata.org/entity/Q72,Zürich,Point(8.541111111 47.374444444)
http://www.wikidata.org/entity/Q71,Geneva,Point(6.15 46.2)
http://www.wikidata.org/entity/Q70,Bern,Point(7.44743 46.94798)
http://www.wikidata.org/entity/Q68965,Solothurn,Point(7.5375 47.208055555)
http://www.wikidata.org/entity/Q1773,Riga,Point(24.106944444 56.9475)
http://www.wikidata.org/entity/Q1741,Vienna,Point(16.3725 48.208333333)
http://www.wikidata.org/entity/Q649,Moscow,Point(37.617777777 55.755833333)
http://www.wikidata.org/entity/Q656,Saint Petersburg,Point(30.316666666 59.95)
http://www.wikidata.org/entity/Q31926034,Zaragoza City,Point(-0.877563649 41.654366145)
http://www.wikidata.org/entity/Q1085,Prague,Point(14.421388888 50.0875)
http://www.wikidata.org/entity/Q1761,Dublin,Point(-6.260277777 53.349722222)
http://www.wikidata.org/entity/Q1773,Riga,Point(24.106944444 56.9475)
http://www.wikidata.org/entity/Q675960,Arlon,Point(5.816666666 49.683611111)
http://www.wikidata.org/entity/Q116170766,Madrid city,Point(-3.70256 40.4165)
http://www.wikidata.org/entity/Q459,Plovdiv,Point(24.741454 42.142086)
http://www.wikidata.org/entity/Q406488,Malko Tarnovo,Point(27.524269 41.980595)
http://www.wikidata.org/entity/Q406523,Septemvri,Point(24.125011 42.216437)
http://www.wikidata.org/entity/Q31926034,Zaragoza City,Point(-0.877563649 41.654366145)
http://www.wikidata.org/entity/Q472,Sofia,Point(23.321726 42.697886)
http://www.wikidata.org/entity/Q405426,Botevgrad,Point(23.793661 42.907278)
http://www.wikidata.org/entity/Q597,Lisbon,Point(-9.139016 38.708042)
http://www.wikidata.org/entity/Q13580795,Samos,Point(26.93833333 37.69083333)
http://www.wikidata.org/entity/Q742538,Plataea,Point(23.27388 38.22136)
http://www.wikidata.org/entity/Q4420718,ancient Syracuse,Point(15.283333333 37.083333333)
http://www.wikidata.org/entity/Q406,Istanbul,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q335070,Alba Longa,Point(12.65026 41.74691)
http://www.wikidata.org/entity/Q5690,Sparta,Point(22.423611111 37.081944444)
http://www.wikidata.org/entity/Q5171759,Corniculum,Point(12.757123 42.020425)
http://www.wikidata.org/entity/Q2441154,Tomis,Point(28.658475 44.17287778)
http://www.wikidata.org/entity/Q2246183,Cures,Point(12.686649 42.182513)
http://www.wikidata.org/entity/Q677935,Veii,Point(12.401388888 42.023888888)
http://www.wikidata.org/entity/Q3136685,ancient Capua,Point(14.25 41.083333333)
http://www.wikidata.org/entity/Q20546079,Q20546079,Point(-8.436356 43.377146)
http://www.wikidata.org/entity/Q178855,Botoșani,Point(26.669444444 47.748611111)
http://www.wikidata.org/entity/Q648489,Loznica,Point(19.225833333 44.533333333)
http://www.wikidata.org/entity/Q309343,Pirot,Point(22.585 43.151944444)
http://www.wikidata.org/entity/Q170287,Subotica,Point(19.67 46.098333333)
http://www.wikidata.org/entity/Q1726,Munich,Point(11.575 48.1375)
http://www.wikidata.org/entity/Q1055,Hamburg,Point(10.0 53.55)
http://www.wikidata.org/entity/Q64,Berlin,Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q1794,Frankfurt,Point(8.682222222 50.110555555)
http://www.wikidata.org/entity/Q6829,Speyer,Point(8.433615 49.3165553)
http://www.wikidata.org/entity/Q68286,Horgen,Point(8.5975 47.260833333)
http://www.wikidata.org/entity/Q25607,St. Gallen,Point(9.377222222 47.423333333)
http://www.wikidata.org/entity/Q9125,Winterthur,Point(8.72671 47.4992)
http://www.wikidata.org/entity/Q68144,Zug,Point(8.516944444 47.168055555)
http://www.wikidata.org/entity/Q72,Zürich,Point(8.541111111 47.374444444)
http://www.wikidata.org/entity/Q71,Geneva,Point(6.15 46.2)
http://www.wikidata.org/entity/Q70,Bern,Point(7.44743 46.94798)
http://www.wikidata.org/entity/Q68965,Solothurn,Point(7.5375 47.208055555)
http://www.wikidata.org/entity/Q1773,Riga,Point(24.106944444 56.9475)
http://www.wikidata.org/entity/Q1741,Vienna,Point(16.3725 48.208333333)
http://www.wikidata.org/entity/Q649,Moscow,Point(37.617777777 55.755833333)
http://www.wikidata.org/entity/Q656,Saint Petersburg,Point(30.316666666 59.95)
http://www.wikidata.org/entity/Q31926034,Zaragoza City,Point(-0.877563649 41.654366145)
http://www.wikidata.org/entity/Q1085,Prague,Point(14.421388888 50.0875)
http://www.wikidata.org/entity/Q1761,Dublin,Point(-6.260277777 53.349722222)
http://www.wikidata.org/entity/Q1773,Riga,Point(24.106944444 56.9475)
http://www.wikidata.org/entity/Q675960,Arlon,Point(5.816666666 49.683611111)
http://www.wikidata.org/entity/Q116170766,Madrid city,Point(-3.70256 40.4165)
http://www.wikidata.org/entity/Q459,Plovdiv,Point(24.741454 42.142086)
http://www.wikidata.org/entity/Q406488,Malko Tarnovo,Point(27.524269 41.980595)
http://www.wikidata.org/entity/Q406523,Septemvri,Point(24.125011 42.216437)
http://www.wikidata.org/entity/Q31926034,Zaragoza City,Point(-0.877563649 41.654366145)
http://www.wikidata.org/entity/Q472,Sofia,Point(23.321726 42.697886)
http://www.wikidata.org/entity/Q405426,Botevgrad,Point(23.793661 42.907278)
http://www.wikidata.org/entity/Q597,Lisbon,Point(-9.139016 38.708042)
http://www.wikidata.org/entity/Q13580795,Samos,Point(26.93833333 37.69083333)
http://www.wikidata.org/entity/Q742538,Plataea,Point(23.27388 38.22136)
http://www.wikidata.org/entity/Q4420718,ancient Syracuse,Point(15.283333333 37.083333333)
http://www.wikidata.org/entity/Q406,Istanbul,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q335070,Alba Longa,Point(12.65026 41.74691)
http://www.wikidata.org/entity/Q5690,Sparta,Point(22.423611111 37.081944444)
http://www.wikidata.org/entity/Q5171759,Corniculum,Point(12.757123 42.020425)
http://www.wikidata.org/entity/Q2441154,Tomis,Point(28.658475 44.17287778)
http://www.wikidata.org/entity/Q2246183,Cures,Point(12.686649 42.182513)
http://www.wikidata.org/entity/Q677935,Veii,Point(12.401388888 42.023888888)
http://www.wikidata.org/entity/Q3136685,ancient Capua,Point(14.25 41.083333333)
http://www.wikidata.org/entity/Q20546079,Q20546079,Point(-8.436356 43.377146)
http://www.wikidata.org/entity/Q178855,Botoșani,Point(26.669444444 47.748611111)
http://www.wikidata.org/entity/Q648489,Loznica,Point(19.225833333 44.533333333)
http://www.wikidata.org/entity/Q309343,Pirot,Point(22.585 43.151944444)
http://www.wikidata.org/entity/Q170287,Subotica,Point(19.67 46.098333333)
http://www.wikidata.org/entity/Q1726,Munich,Point(11.575 48.1375)
http://www.wikidata.org/entity/Q1055,Hamburg,Point(10.0 53.55)
http://www.wikidata.org/entity/Q64,Berlin,Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q1794,Frankfurt,Point(8.682222222 50.110555555)
http://www.wikidata.org/entity/Q6829,Speyer,Point(8.433615 49.3165553)
http://www.wikidata.org/entity/Q68286,Horgen,Point(8.5975 47.260833333)
http://www.wikidata.org/entity/Q25607,St. Gallen,Point(9.377222222 47.423333333)
http://www.wikidata.org/entity/Q9125,Winterthur,Point(8.72671 47.4992)
http://www.wikidata.org/entity/Q68144,Zug,Point(8.516944444 47.168055555)
http://www.wikidata.org/entity/Q72,Zürich,Point(8.541111111 47.374444444)
http://www.wikidata.org/entity/Q71,Geneva,Point(6.15 46.2)
http://www.wikidata.org/entity/Q70,Bern,Point(7.44743 46.94798)
http://www.wikidata.org/entity/Q68965,Solothurn,Point(7.5375 47.208055555)
http://www.wikidata.org/entity/Q1773,Riga,Point(24.106944444 56.9475)
http://www.wikidata.org/entity/Q13580795,Samos,Point(26.93833333 37.69083333)
http://www.wikidata.org/entity/Q742538,Plataea,Point(23.27388 38.22136)
http://www.wikidata.org/entity/Q3693378,Corcyra,Point(19.918333333 39.607222222)
http://www.wikidata.org/entity/Q4420718,ancient Syracuse,Point(15.283333333 37.083333333)
http://www.wikidata.org/entity/Q368628,Sicyon,Point(22.711145 37.984104)
http://www.wikidata.org/entity/Q5690,Sparta,Point(22.423611111 37.081944444)
http://www.wikidata.org/entity/Q2441154,Tomis,Point(28.658475 44.17287778)
http://www.wikidata.org/entity/Q1141295,Thespiae,Point(23.1549 38.2935)
http://www.wikidata.org/entity/Q3136685,ancient Capua,Point(14.25 41.083333333)
http://www.wikidata.org/entity/Q844930,Classical Athens,Point(23.71666667 37.96666667)
http://www.wikidata.org/entity/Q102397,Miskolc,Point(20.783333333 48.1)
http://www.wikidata.org/entity/Q1615455,Duchy of Mirandola,Point(11.0657 44.88878)
http://www.wikidata.org/entity/Q1726,Munich,Point(11.575 48.1375)
http://www.wikidata.org/entity/Q84,London,Point(-0.1275 51.507222222)
http://www.wikidata.org/entity/Q1794,Frankfurt,Point(8.682222222 50.110555555)
http://www.wikidata.org/entity/Q3646,Krasnodar,Point(38.983333333 45.033333333)
http://www.wikidata.org/entity/Q915,Perm,Point(56.248888888 58.013888888)
http://www.wikidata.org/entity/Q915,Perm,Point(56.248888888 58.013888888)
http://www.wikidata.org/entity/Q656,Saint Petersburg,Point(30.316666666 59.95)
http://www.wikidata.org/entity/Q656,Saint Petersburg,Point(30.316666666 59.95)
http://www.wikidata.org/entity/Q656,Saint Petersburg,Point(30.316666666 59.95)
http://www.wikidata.org/entity/Q908,Rostov-on-Don,Point(39.71 47.2225)
http://www.wikidata.org/entity/Q908,Rostov-on-Don,Point(39.71 47.2225)
http://www.wikidata.org/entity/Q891,Nizhny Novgorod,Point(44.0075 56.326944444)
http://www.wikidata.org/entity/Q1054423,Suasa,Point(12.984444444 43.625555555)
http://www.wikidata.org/entity/Q113110658,Forau de la Tuta,Point(-0.9951 42.5999)
http://www.wikidata.org/entity/Q675960,Arlon,Point(5.816666666 49.683611111)
http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888)
http://www.wikidata.org/entity/Q490,Milan,Point(9.19 45.466944444)
http://www.wikidata.org/entity/Q208169,Republic of Ragusa,Point(18.06666667 42.65)
http://www.wikidata.org/entity/Q4948,Republic of Venice,Point(12.683 45.583)
http://www.wikidata.org/entity/Q174306,Republic of Genoa,Point(8.933333333 44.4075)
http://www.wikidata.org/entity/Q686312,Duchy of Amalfi,Point(14.6 40.633333333)
http://www.wikidata.org/entity/Q1794,Frankfurt,Point(8.682222222 50.110555555)
http://www.wikidata.org/entity/Q3693378,Corcyra,Point(19.918333333 39.607222222)
http://www.wikidata.org/entity/Q1726,Munich,Point(11.575 48.1375)
http://www.wikidata.org/entity/Q6829,Speyer,Point(8.433615 49.3165553)
http://www.wikidata.org/entity/Q1055,Hamburg,Point(10.0 53.55)
http://www.wikidata.org/entity/Q1507192,Poblat ibèric de Puig de Castellet,Point(2.848324 41.715868)
http://www.wikidata.org/entity/Q64,Berlin,Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q649,Moscow,Point(37.617777777 55.755833333)
http://www.wikidata.org/entity/Q406,Istanbul,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q84,London,Point(-0.1275 51.507222222)
http://www.wikidata.org/entity/Q90,Paris,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q1054423,Suasa,Point(12.984444444 43.625555555)
http://www.wikidata.org/entity/Q116170766,Madrid city,Point(-3.70256 40.4165)
http://www.wikidata.org/entity/Q31926034,Zaragoza City,Point(-0.877563649 41.654366145)
http://www.wikidata.org/entity/Q20949725,Principality of Sperlinga,Point(14.35 37.766666666)
http://www.wikidata.org/entity/Q208169,Republic of Ragusa,Point(18.06666667 42.65)
http://www.wikidata.org/entity/Q391980,Free Territory of Trieste,Point(13.75 45.68)
http://www.wikidata.org/entity/Q335070,Alba Longa,Point(12.65026 41.74691)
http://www.wikidata.org/entity/Q1741,Vienna,Point(16.3725 48.208333333)
http://www.wikidata.org/entity/Q237,Vatican City,Point(12.453 41.904)
http://www.wikidata.org/entity/Q1055,Hamburg,Point(10.0 53.55)
http://www.wikidata.org/entity/Q5171759,Corniculum,Point(12.757123 42.020425)
http://www.wikidata.org/entity/Q64,Berlin,Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q216173,Free City of Danzig,Point(18.66 54.4)
http://www.wikidata.org/entity/Q1524,Athens,Point(23.728055555 37.984166666)
http://www.wikidata.org/entity/Q240,Brussels-Capital Region,Point(4.3525 50.846666666)
http://www.wikidata.org/entity/Q235,Monaco,Point(7.42 43.731111111)
http://www.wikidata.org/entity/Q844930,Classical Athens,Point(23.71666667 37.96666667)
http://www.wikidata.org/entity/Q548114,Free State of Fiume,Point(14.4429 45.3531)
http://www.wikidata.org/entity/Q891,Nizhny Novgorod,Point(44.0075 56.326944444)
http://www.wikidata.org/entity/Q111901161,Brussels,Point(4.3525 50.84668)
http://www.wikidata.org/entity/Q84,London,Point(-0.1275 51.507222222)
http://www.wikidata.org/entity/Q90,Paris,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q1794,Frankfurt,Point(8.682222222 50.110555555)
http://www.wikidata.org/entity/Q1741,Vienna,Point(16.3725 48.208333333)
http://www.wikidata.org/entity/Q70,Bern,Point(7.44743 46.94798)
http://www.wikidata.org/entity/Q393,Szczecin,Point(14.555277777 53.424722222)
http://www.wikidata.org/entity/Q1754,Stockholm,Point(18.068611111 59.329444444)
http://www.wikidata.org/entity/Q1055,Hamburg,Point(10.0 53.55)
http://www.wikidata.org/entity/Q64,Berlin,Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q268,Poznań,Point(16.933611111 52.408333333)
http://www.wikidata.org/entity/Q1773,Riga,Point(24.106944444 56.9475)
http://www.wikidata.org/entity/Q31487,Kraków,Point(19.937222222 50.061388888)
http://www.wikidata.org/entity/Q1862,Wollin,Point(14.611388888 53.841388888)
http://www.wikidata.org/entity/Q1770,Tallinn,Point(24.745 59.437222222)
http://www.wikidata.org/entity/Q105060,Sosnowiec,Point(19.1946 50.2711)
http://www.wikidata.org/entity/Q393,Szczecin,Point(14.555277777 53.424722222)
http://www.wikidata.org/entity/Q105060,Sosnowiec,Point(19.166666666 50.3)
http://www.wikidata.org/entity/Q385,Gdynia,Point(18.54 54.5175)
http://www.wikidata.org/entity/Q761,Białystok,Point(23.166666666 53.116666666)
http://www.wikidata.org/entity/Q598,Rzeszów,Point(22.0 50.05)
http://www.wikidata.org/entity/Q588,Katowice,Point(19.0 50.25)
http://www.wikidata.org/entity/Q270,Warsaw,Point(21.011111111 52.23)
http://www.wikidata.org/entity/Q158485,Siemianowice Śląskie,Point(18.985833333 50.275833333)
http://www.wikidata.org/entity/Q108672,Dąbrowa Górnicza,Point(19.3213 50.371)
http://www.wikidata.org/entity/Q108672,Dąbrowa Górnicza,Point(19.2374 50.31818)
http://www.wikidata.org/entity/Q108672,Dąbrowa Górnicza,Point(19.194722222 50.323888888)
http://www.wikidata.org/entity/Q802,Nowy Sącz,Point(20.697222222 49.623888888)
http://www.wikidata.org/entity/Q268,Poznań,Point(16.933611111 52.408333333)
http://www.wikidata.org/entity/Q31487,Kraków,Point(19.937222222 50.061388888)
http://www.wikidata.org/entity/Q102350,Bytom,Point(18.923 50.347)
http://www.wikidata.org/entity/Q104302,Chorzów,Point(18.95 50.3)
http://www.wikidata.org/entity/Q104302,Chorzów,Point(18.9628 50.2884)
http://www.wikidata.org/entity/Q92689,Sopot,Point(18.54782 54.44185)
http://www.wikidata.org/entity/Q102317,Kielce,Point(20.631944444 50.8725)
http://www.wikidata.org/entity/Q23436,Edinburgh,Point(-3.189166666 55.953333333)
http://www.wikidata.org/entity/Q25607,St. Gallen,Point(9.377222222 47.423333333)
http://www.wikidata.org/entity/Q72,Zürich,Point(8.541111111 47.374444444)
http://www.wikidata.org/entity/Q71,Geneva,Point(6.15 46.2)
http://www.wikidata.org/entity/Q70,Bern,Point(7.44743 46.94798)
http://www.wikidata.org/entity/Q456,Lyon,Point(4.841388888 45.758888888)
http://www.wikidata.org/entity/Q1726,Munich,Point(11.575 48.1375)
http://www.wikidata.org/entity/Q7880,Toulouse,Point(1.443888888 43.604444444)
http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555)
http://www.wikidata.org/entity/Q19660,Bucharest,Point(26.097777777 44.413361111)
http://www.wikidata.org/entity/Q90,Paris,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q1794,Frankfurt,Point(8.682222222 50.110555555)
http://www.wikidata.org/entity/Q239,City of Brussels,Point(4.351666666 50.846666666)
http://www.wikidata.org/entity/Q1794,Frankfurt,Point(8.682222222 50.110555555)
http://www.wikidata.org/entity/Q90,Paris,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q6829,Speyer,Point(8.433615 49.3165553)
http://www.wikidata.org/entity/Q23436,Edinburgh,Point(-3.189166666 55.953333333)
http://www.wikidata.org/entity/Q3646,Krasnodar,Point(38.983333333 45.033333333)
http://www.wikidata.org/entity/Q214655,Çorlu,Point(27.802777777 41.159722222)
http://www.wikidata.org/entity/Q127623,Vantaa,Point(25.040277777 60.294444444)
http://www.wikidata.org/entity/Q105060,Sosnowiec,Point(19.1946 50.2711)
http://www.wikidata.org/entity/Q9125,Winterthur,Point(8.72671 47.4992)
http://www.wikidata.org/entity/Q3711,Belgrade,Point(20.456944444 44.817777777)
http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888)
http://www.wikidata.org/entity/Q1761,Dublin,Point(-6.260277777 53.349722222)
http://www.wikidata.org/entity/Q1085,Prague,Point(14.421388888 50.0875)
http://www.wikidata.org/entity/Q393,Szczecin,Point(14.555277777 53.424722222)
http://www.wikidata.org/entity/Q239,City of Brussels,Point(4.351666666 50.846666666)
http://www.wikidata.org/entity/Q105060,Sosnowiec,Point(19.166666666 50.3)
http://www.wikidata.org/entity/Q47034,Espoo,Point(24.655555555 60.205555555)
http://www.wikidata.org/entity/Q43475,Derby,Point(-1.476666666 52.921666666)
http://www.wikidata.org/entity/Q915,Perm,Point(56.248888888 58.013888888)
http://www.wikidata.org/entity/Q900,Kazan,Point(49.114444444 55.790833333)
http://www.wikidata.org/entity/Q72,Zürich,Point(8.541111111 47.374444444)
http://www.wikidata.org/entity/Q71,Geneva,Point(6.15 46.2)
http://www.wikidata.org/entity/Q70,Bern,Point(7.44743 46.94798)
http://www.wikidata.org/entity/Q649,Moscow,Point(37.617777777 55.755833333)
http://www.wikidata.org/entity/Q5540,Penza,Point(45.0 53.2)
http://www.wikidata.org/entity/Q116170766,Madrid city,Point(-3.70256 40.4165)
http://www.wikidata.org/entity/Q1647,Rijeka,Point(14.433333333 45.333333333)
http://www.wikidata.org/entity/Q490,Milan,Point(9.19 45.466944444)
http://www.wikidata.org/entity/Q459,Plovdiv,Point(24.741454 42.142086)
http://www.wikidata.org/entity/Q456,Lyon,Point(4.841388888 45.758888888)
http://www.wikidata.org/entity/Q406,Istanbul,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q1726,Munich,Point(11.575 48.1375)
http://www.wikidata.org/entity/Q157835,Zaporizhzhia,Point(35.1175 47.85)
http://www.wikidata.org/entity/Q95449,Magnitogorsk,Point(59.033333333 53.383333333)
http://www.wikidata.org/entity/Q162279,Kuopio,Point(27.678333333 62.8925)
http://www.wikidata.org/entity/Q15470,L'Hospitalet de Llobregat,Point(2.099166666 41.358888888)
